clause_text,label
"This Agreement is not assignable by Distributor without prior written consent of Tripath, which will not be unreasonably withheld.",anti-assignment
Any assignment in derogation of the foregoing shall be null and void.,anti-assignment
MD Anderson shall not subcontract any of its or the Principal Investigator's responsibilities under this Agreement without the prior written consent of Adaptimmune.,anti-assignment
"14.2.11 you Transfer any interest in yourself, this Agreement, the Hotel or the Hotel Site, other than in compliance with Section 13 and its subparts;",anti-assignment
"Reseller acknowledges and agrees that it does not have the right to assign sub-resellers under this Agreement  outside of the Territory, except with the prior written consent of Diversinet.",anti-assignment
Any attempted assignment without consent shall be void.,anti-assignment
"assigning Party in a written instrument, a copy of which is provided to the other Party; and (ii) any assignment of   this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the   assigning Party's interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which   agreement shall not be unreasonably withheld.",anti-assignment
"The Distributor shall not assign, transfer, mortgage, charge, declare a trust of or deal in any other manner with this agreement or any of its rights and obligations under or arising out of this agreement, or purport to do any of the same; provided, however, the Distributor may assign or transfer this agreement to a Permitted Assignee without the consent of Supplier.",anti-assignment
"AbbVie may use one (1) or more of its Affiliates to perform its obligations and duties hereunder and such AbbVie Affiliates are expressly granted certain rights herein; provided that each such Affiliate shall be bound by the corresponding obligations of AbbVie and, subject to an assignment to such Affiliate pursuant to Section 13.4, AbbVie shall remain liable hereunder for the prompt payment and performance of all their respective obligations hereunder.",anti-assignment
Any assignment made by either Party in contravention of this Section 15.7 shall be null and void for all purposes.,anti-assignment
No Party may assign this Agreement without the prior written consent of the other Party.,anti-assignment
receipt of such notice to receive Technical Support at Manufacturer's sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.,anti-assignment
Neither of the parties hereto may assign its rights or delegate any of its duties under this Agreement without the prior written consent of each other party.,anti-assignment
Any attempted assignment of this Agreement in violation of this Section 8.12 shall be null and void.,anti-assignment
Any assignment in conflict with this provision shall be void.,anti-assignment
"Neither party shall assign, transfer, or subcontract this Agreement or any of its obligations hereunder without the other party's express, prior written consent, which will not be unreasonably withheld.",anti-assignment
Neither this Agreement nor any right created by it shall,anti-assignment
"Investor will not assign to any Third Party any rights under this IP Agreement not specifically transferable by its terms without the prior written consent of Company, such consent not to be unreasonably withheld.",anti-assignment
The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.,anti-assignment
Neither Party shall assign any rights or obligations provided herein without the prior written consent of the other Party.,anti-assignment
"assign or otherwise transfer this Agreement to any person or entity without the





other's written consent, such consent not to be unreasonably withheld or delayed; provided that the withholding of consent of assignment to a competitor of the other party shall be deemed reasonable.",anti-assignment
"Licensee shall have the right to assign or sublicense any or all of its rights granted under this Agreement, in whole or in part, to third parties exhibiting the Titles in the ordinary course of Licensee's business with prior written notice to Licensor and subject to the applicable limitations (if any) in Section 2(a)(i) [License Grant]",anti-assignment
Distributor shall not assign the rights granted in this Section 1.01 without the prior written consent of the Company.,anti-assignment
"assign, transfer, alienate, encumber or hypothecate any of its rights or obligations hereunder without the express prior written consent of the other party, except that Consolidated Artists shall have the right to assign the financial benefits hereof and TPC hereby consents to such assignment.",anti-assignment
The rights and obligations provided by this Agreement shall not be assignable by any Party.,anti-assignment
Notwithstanding the foregoing:,anti-assignment
This Agreement is not assignable by Agent without prior written consent by Kallo.,anti-assignment
"The Distributor shall not sub-license, transfer or otherwise deal with the rights of use of the Trade Marks granted under this agreement.",anti-assignment
"Owner shall deliver  notice of any such assignment, pledge or transfer to Service Provider in writing as soon as reasonably practicable thereafter.",anti-assignment
"Subject to Section 20.2, neither Party shall, nor shall it purport to, assign, license, transfer or change any of its rights or  obligations under this Agreement without the prior written consent of the other, such consent not to be unreasonably withheld  conditioned or delayed; provided, however, that except as provided in Section 20.4 either Party may assign its rights hereunder to an  Affiliate or to any successor by merger, consolidation, sale of stock or other equity interests or the sale of substantially all of the assets of  such Party without the consent of the other Party.",anti-assignment
LBIO may assign or transfer this Agreement without the prior written consent of but with written notice to MD Anderson promptly following consummation of the relevant transaction.,anti-assignment
This Agreement may not be assigned without the prior written consent of the other Party hereto.,anti-assignment
"This Agreement will automatically terminate in the event of its ""assignment"" (as such term is defined for purposes of Section 15(a) (4) of the Investment Fund Act).",anti-assignment
"If any purported assignment or transfer of any direct or indirect interest in this Agreement, in you, or in all or substantially all of the assets of the Franchised Business is made to any third party without our prior written consent, contrary to the terms of Section 12 of this Agreement.",anti-assignment
"HERC may not assign, transfer, sublicense or delegate any of its rights hereunder or delegate its obligations hereunder without the prior written consent of HSI, and any such purported assignment, transfer, sublicense or delegation, in the absence of such consent, shall be void and without effect.",anti-assignment
This Agreement may not be assigned by the           Professional under any circumstances.,anti-assignment
"Programmer may not assign this Agreement without the prior written consent of Licensee, which shall not be unreasonably withheld, conditioned, or delayed.",anti-assignment
Customer agrees that it will not transfer or (unless expressly and specifically approved by Kubient in advance and in writing) allow third-party access to the Service,anti-assignment
"The Agreement is not assignable, including any assignment by operation of law (including but not limited to as a result of a merger or other corporate action), by either Party without the prior written consent of the other Party.",anti-assignment
"This Agreement may not be assigned or otherwise transferred, nor may any right or obligations hereunder be assigned or transferred, by either Party without the prior written consent of the other Party; provided, however, that Licensor may, without such consent, assign this Agreement and its rights and obligations hereunder, in whole or in part, to an Affiliate or in connection with the transfer or sale of all or substantially all of its assets related to the Licensed Product or the business relating thereto, or in the event of its merger or consolidation or change in control or similar transaction.",anti-assignment
"Neither party may assign its rights or powers under this Agreement without the express written consent of the other, which consent shall",anti-assignment
"The sum of the Quarterly Grant Numbers in each calendar year of the Term shall not exceed fifteen thousand (15,000). The options will expire five (5) years after each grant date.",anti-assignment
This Agreement may not be assigned by Licensee without the consent of Licensor which consent shall not be unreasonably withheld.,anti-assignment
"obligations and privileges hereunder to an assignee in connection with any merger, acquisition or sale of all or substantially all of the business to which this Agreement relates.",anti-assignment
